Time,c/kWh
2024-01-01 00:00,5.55
2024-01-01 01:00,5.35
2024-01-01 02:00,4.12
2024-01-01 03:00,3.9
2024-01-01 04:00,3.63
2024-01-01 05:00,3.57
2024-01-01 06:00,3.22
2024-01-01 07:00,3.39
2024-01-01 08:00,3.69
2024-01-01 09:00,3.84
2024-01-01 10:00,4.58
2024-01-01 11:00,5.72
2024-01-01 12:00,5.99
2024-01-01 13:00,7.86
2024-01-01 14:00,8.17
2024-01-01 15:00,8.07
2024-01-01 16:00,10.21
2024-01-01 17:00,9.07
2024-01-01 18:00,9.79
2024-01-01 19:00,8.65
2024-01-01 20:00,7.52
2024-01-01 21:00,6.56
2024-01-01 22:00,8.64
2024-01-01 23:00,7.24
2024-01-02 00:00,6.04
2024-01-02 01:00,7.47
2024-01-02 02:00,6.78
2024-01-02 03:00,6.45
2024-01-02 04:00,7.22
2024-01-02 05:00,10.07
2024-01-02 06:00,22.92
2024-01-02 07:00,31.59
2024-01-02 08:00,60.49
2024-01-02 09:00,37.8
2024-01-02 10:00,31.59
2024-01-02 11:00,30.59
2024-01-02 12:00,20.36
2024-01-02 13:00,19.19
2024-01-02 14:00,19.19
2024-01-02 15:00,21.15
2024-01-02 16:00,31.59
2024-01-02 17:00,28.64
2024-01-02 18:00,25.01
2024-01-02 19:00,31.59
2024-01-02 20:00,25.01
2024-01-02 21:00,13.7
2024-01-02 22:00,19.13
2024-01-02 23:00,11.8
2024-01-03 00:00,11.34
2024-01-03 01:00,6.68
2024-01-03 02:00,7.63
2024-01-03 03:00,7.55
2024-01-03 04:00,7.78
2024-01-03 05:00,9.29
2024-01-03 06:00,11.34
2024-01-03 07:00,15.32
2024-01-03 08:00,16.9
2024-01-03 09:00,17.08
2024-01-03 10:00,16.56
2024-01-03 11:00,12.86
2024-01-03 12:00,16.7
2024-01-03 13:00,15.32
2024-01-03 14:00,12.62
2024-01-03 15:00,12.52
2024-01-03 16:00,15.35
2024-01-03 17:00,16.7
2024-01-03 18:00,18.89
2024-01-03 19:00,15.32
2024-01-03 20:00,12.88
2024-01-03 21:00,11.23
2024-01-03 22:00,12.98
2024-01-03 23:00,11.37
2024-01-04 00:00,7.83
2024-01-04 01:00,16.62
2024-01-04 02:00,13.78
2024-01-04 03:00,12.3
2024-01-04 04:00,12.72
2024-01-04 05:00,15.65
2024-01-04 06:00,22.94
2024-01-04 07:00,37.79
2024-01-04 08:00,47.62
2024-01-04 09:00,37.79
2024-01-04 10:00,37.79
2024-01-04 11:00,37.8
2024-01-04 12:00,37.79
2024-01-04 13:00,37.79
2024-01-04 14:00,37.32
2024-01-04 15:00,37.79
2024-01-04 16:00,45.5
2024-01-04 17:00,37.79
2024-01-04 18:00,37.79
2024-01-04 19:00,31.59
2024-01-04 20:00,25.85
2024-01-04 21:00,19.19
2024-01-04 22:00,19.19
2024-01-04 23:00,18.33
2024-01-05 00:00,14.37
2024-01-05 01:00,21.67
2024-01-05 02:00,19.2
2024-01-05 03:00,19.2
2024-01-05 04:00,19.2
2024-01-05 05:00,19.2
2024-01-05 06:00,43.99
2024-01-05 07:00,124.58
2024-01-05 08:00,183.97
2024-01-05 09:00,155.8
2024-01-05 10:00,124.59
2024-01-05 11:00,124.59
2024-01-05 12:00,99.79
2024-01-05 13:00,124.58
2024-01-05 14:00,112.07
2024-01-05 15:00,124.59
2024-01-05 16:00,210.93
2024-01-05 17:00,218.58
2024-01-05 18:00,183.98
2024-01-05 19:00,235.69
2024-01-05 20:00,218.09
2024-01-05 21:00,123.36
2024-01-05 22:00,93.58
2024-01-05 23:00,37.79
2024-01-06 00:00,25.39
2024-01-06 01:00,14.38
2024-01-06 02:00,14.72
2024-01-06 03:00,14.31
2024-01-06 04:00,14.67
2024-01-06 05:00,18.16
2024-01-06 06:00,20.04
2024-01-06 07:00,17.07
2024-01-06 08:00,18.91
2024-01-06 09:00,23.14
2024-01-06 10:00,23.41
2024-01-06 11:00,22.46
2024-01-06 12:00,22.51
2024-01-06 13:00,22.67
2024-01-06 14:00,20.6
2024-01-06 15:00,23.41
2024-01-06 16:00,25.39
2024-01-06 17:00,37.79
2024-01-06 18:00,30.9
2024-01-06 19:00,25.39
2024-01-06 20:00,22.88
2024-01-06 21:00,20.99
2024-01-06 22:00,22.44
2024-01-06 23:00,20.32
2024-01-07 00:00,15.56
2024-01-07 01:00,12.21
2024-01-07 02:00,16.55
2024-01-07 03:00,13.49
2024-01-07 04:00,12.15
2024-01-07 05:00,12.15
2024-01-07 06:00,12.15
2024-01-07 07:00,11.13
2024-01-07 08:00,12.6
2024-01-07 09:00,12.15
2024-01-07 10:00,15.27
2024-01-07 11:00,12.68
2024-01-07 12:00,12.15
2024-01-07 13:00,11.94
2024-01-07 14:00,11.44
2024-01-07 15:00,11.41
2024-01-07 16:00,11.83
2024-01-07 17:00,12.52
2024-01-07 18:00,13.52
2024-01-07 19:00,13.75
2024-01-07 20:00,13.43
2024-01-07 21:00,11.48
2024-01-07 22:00,12.16
2024-01-07 23:00,11.31
2024-01-08 00:00,8.36
2024-01-08 01:00,10.5
2024-01-08 02:00,10.68
2024-01-08 03:00,10.74
2024-01-08 04:00,10.4
2024-01-08 05:00,10.32
2024-01-08 06:00,10.77
2024-01-08 07:00,12.28
2024-01-08 08:00,14.38
2024-01-08 09:00,15.61
2024-01-08 10:00,15.56
2024-01-08 11:00,14.71
2024-01-08 12:00,17.83
2024-01-08 13:00,20.56
2024-01-08 14:00,17.69
2024-01-08 15:00,21.32
2024-01-08 16:00,20.74
2024-01-08 17:00,16.7
2024-01-08 18:00,17
2024-01-08 19:00,16.71
2024-01-08 20:00,15.73
2024-01-08 21:00,14.75
2024-01-08 22:00,12.97
2024-01-08 23:00,10.7
2024-01-09 00:00,6.79
2024-01-09 01:00,4.03
2024-01-09 02:00,3.9
2024-01-09 03:00,3.85
2024-01-09 04:00,3.85
2024-01-09 05:00,3.92
2024-01-09 06:00,5.3
2024-01-09 07:00,9.22
2024-01-09 08:00,10.6
2024-01-09 09:00,9.94
2024-01-09 10:00,9.83
2024-01-09 11:00,10.67
2024-01-09 12:00,9.86
2024-01-09 13:00,9.44
2024-01-09 14:00,10.41
2024-01-09 15:00,11.12
2024-01-09 16:00,11.76
2024-01-09 17:00,10.27
2024-01-09 18:00,12.37
2024-01-09 19:00,17.15
2024-01-09 20:00,16.26
2024-01-09 21:00,15.04
2024-01-09 22:00,12.99
2024-01-09 23:00,11.75
2024-01-10 00:00,6.9
2024-01-10 01:00,5.3
2024-01-10 02:00,4.88
2024-01-10 03:00,4.06
2024-01-10 04:00,3.99
2024-01-10 05:00,4.57
2024-01-10 06:00,10.51
2024-01-10 07:00,10.85
2024-01-10 08:00,12.6
2024-01-10 09:00,12.99
2024-01-10 10:00,10.51
2024-01-10 11:00,6.8
2024-01-10 12:00,5.17
2024-01-10 13:00,4.68
2024-01-10 14:00,4.04
2024-01-10 15:00,3.99
2024-01-10 16:00,3.92
2024-01-10 17:00,3.85
2024-01-10 18:00,3.88
2024-01-10 19:00,3.81
2024-01-10 20:00,3.74
2024-01-10 21:00,3.7
2024-01-10 22:00,3.73
2024-01-10 23:00,3.62
2024-01-11 00:00,3.26
2024-01-11 01:00,3.21
2024-01-11 02:00,3.3
2024-01-11 03:00,3.61
2024-01-11 04:00,3.94
2024-01-11 05:00,4.16
2024-01-11 06:00,4.85
2024-01-11 07:00,5.79
2024-01-11 08:00,7.23
2024-01-11 09:00,9.19
2024-01-11 10:00,11.7
2024-01-11 11:00,14.23
2024-01-11 12:00,13.4
2024-01-11 13:00,12.53
2024-01-11 14:00,12.87
2024-01-11 15:00,13.73
2024-01-11 16:00,15.98
2024-01-11 17:00,18.18
2024-01-11 18:00,19.81
2024-01-11 19:00,25.39
2024-01-11 20:00,18.62
2024-01-11 21:00,15.91
2024-01-11 22:00,14.01
2024-01-11 23:00,12.99
2024-01-12 00:00,12.61
2024-01-12 01:00,11.87
2024-01-12 02:00,11.52
2024-01-12 03:00,11.29
2024-01-12 04:00,11.36
2024-01-12 05:00,12.03
2024-01-12 06:00,13.41
2024-01-12 07:00,16.03
2024-01-12 08:00,17.6
2024-01-12 09:00,18.04
2024-01-12 10:00,17.33
2024-01-12 11:00,19.19
2024-01-12 12:00,17.51
2024-01-12 13:00,16.04
2024-01-12 14:00,16.01
2024-01-12 15:00,19.25
2024-01-12 16:00,25.76
2024-01-12 17:00,37.67
2024-01-12 18:00,25.39
2024-01-12 19:00,19.81
2024-01-12 20:00,15.82
2024-01-12 21:00,14.09
2024-01-12 22:00,12.82
2024-01-12 23:00,12.19
2024-01-13 00:00,10.52
2024-01-13 01:00,6.75
2024-01-13 02:00,6.37
2024-01-13 03:00,6.05
2024-01-13 04:00,5.86
2024-01-13 05:00,5.86
2024-01-13 06:00,5.99
2024-01-13 07:00,6.25
2024-01-13 08:00,6.94
2024-01-13 09:00,7.77
2024-01-13 10:00,7.93
2024-01-13 11:00,7.93
2024-01-13 12:00,7.83
2024-01-13 13:00,7.56
2024-01-13 14:00,7.58
2024-01-13 15:00,7.93
2024-01-13 16:00,9.1
2024-01-13 17:00,9.37
2024-01-13 18:00,9.79
2024-01-13 19:00,9.99
2024-01-13 20:00,9.74
2024-01-13 21:00,9.65
2024-01-13 22:00,10.53
2024-01-13 23:00,8.94
2024-01-14 00:00,8.23
2024-01-14 01:00,8.53
2024-01-14 02:00,8.29
2024-01-14 03:00,8.39
2024-01-14 04:00,8.64
2024-01-14 05:00,8.7
2024-01-14 06:00,8.67
2024-01-14 07:00,8.97
2024-01-14 08:00,9.52
2024-01-14 09:00,10.11
2024-01-14 10:00,10.68
2024-01-14 11:00,10.67
2024-01-14 12:00,10.86
2024-01-14 13:00,10.56
2024-01-14 14:00,10.14
2024-01-14 15:00,10.4
2024-01-14 16:00,10.8
2024-01-14 17:00,11.33
2024-01-14 18:00,11.98
2024-01-14 19:00,12.33
2024-01-14 20:00,11.16
2024-01-14 21:00,10.39
2024-01-14 22:00,10.31
2024-01-14 23:00,9.85
2024-01-15 00:00,8.88
2024-01-15 01:00,9.23
2024-01-15 02:00,8.78
2024-01-15 03:00,8.56
2024-01-15 04:00,8.28
2024-01-15 05:00,8.47
2024-01-15 06:00,9.34
2024-01-15 07:00,11.23
2024-01-15 08:00,14.67
2024-01-15 09:00,14.36
2024-01-15 10:00,16.47
2024-01-15 11:00,13.22
2024-01-15 12:00,16.59
2024-01-15 13:00,16.6
2024-01-15 14:00,16.6
2024-01-15 15:00,15.94
2024-01-15 16:00,14.02
2024-01-15 17:00,14.23
2024-01-15 18:00,14.12
2024-01-15 19:00,14.92
2024-01-15 20:00,14.31
2024-01-15 21:00,13.38
2024-01-15 22:00,12.12
2024-01-15 23:00,11.69
2024-01-16 00:00,11.31
2024-01-16 01:00,10.78
2024-01-16 02:00,10.68
2024-01-16 03:00,10.52
2024-01-16 04:00,10.29
2024-01-16 05:00,10.21
2024-01-16 06:00,10.94
2024-01-16 07:00,15.84
2024-01-16 08:00,24.57
2024-01-16 09:00,34.76
2024-01-16 10:00,34.14
2024-01-16 11:00,31.58
2024-01-16 12:00,25.46
2024-01-16 13:00,21.67
2024-01-16 14:00,18.19
2024-01-16 15:00,18.39
2024-01-16 16:00,19.95
2024-01-16 17:00,21.68
2024-01-16 18:00,21.77
2024-01-16 19:00,20.99
2024-01-16 20:00,18.62
2024-01-16 21:00,19.38
2024-01-16 22:00,16.89
2024-01-16 23:00,15.61
2024-01-17 00:00,13.29
2024-01-17 01:00,12.45
2024-01-17 02:00,11.04
2024-01-17 03:00,10.77
2024-01-17 04:00,10.77
2024-01-17 05:00,11.76
2024-01-17 06:00,17.28
2024-01-17 07:00,19.19
2024-01-17 08:00,18.91
2024-01-17 09:00,15.72
2024-01-17 10:00,13.68
2024-01-17 11:00,14.27
2024-01-17 12:00,14.37
2024-01-17 13:00,15.03
2024-01-17 14:00,15.46
2024-01-17 15:00,15.22
2024-01-17 16:00,15.7
2024-01-17 17:00,16.07
2024-01-17 18:00,17.51
2024-01-17 19:00,15.47
2024-01-17 20:00,14.35
2024-01-17 21:00,13.81
2024-01-17 22:00,12.68
2024-01-17 23:00,11.92
2024-01-18 00:00,9.02
2024-01-18 01:00,6.54
2024-01-18 02:00,6.7
2024-01-18 03:00,6.36
2024-01-18 04:00,6.16
2024-01-18 05:00,6.38
2024-01-18 06:00,8.15
2024-01-18 07:00,10.04
2024-01-18 08:00,12.68
2024-01-18 09:00,14
2024-01-18 10:00,12.88
2024-01-18 11:00,14.34
2024-01-18 12:00,13.98
2024-01-18 13:00,12.19
2024-01-18 14:00,11.45
2024-01-18 15:00,11.31
2024-01-18 16:00,12.28
2024-01-18 17:00,12.93
2024-01-18 18:00,13.57
2024-01-18 19:00,13.39
2024-01-18 20:00,12.31
2024-01-18 21:00,11.37
2024-01-18 22:00,10.65
2024-01-18 23:00,10.19
2024-01-19 00:00,9.43
2024-01-19 01:00,9.07
2024-01-19 02:00,8.69
2024-01-19 03:00,8.53
2024-01-19 04:00,8.37
2024-01-19 05:00,8.44
2024-01-19 06:00,8.76
2024-01-19 07:00,9.98
2024-01-19 08:00,12.98
2024-01-19 09:00,13.52
2024-01-19 10:00,13.4
2024-01-19 11:00,12.48
2024-01-19 12:00,11.32
2024-01-19 13:00,10.35
2024-01-19 14:00,9.91
2024-01-19 15:00,10.13
2024-01-19 16:00,11.82
2024-01-19 17:00,13.56
2024-01-19 18:00,14.82
2024-01-19 19:00,14.04
2024-01-19 20:00,13.74
2024-01-19 21:00,11.97
2024-01-19 22:00,10.51
2024-01-19 23:00,9.89
2024-01-20 00:00,8.86
2024-01-20 01:00,8.97
2024-01-20 02:00,8.65
2024-01-20 03:00,8.66
2024-01-20 04:00,8.44
2024-01-20 05:00,8.45
2024-01-20 06:00,9.13
2024-01-20 07:00,9.8
2024-01-20 08:00,10.94
2024-01-20 09:00,12.48
2024-01-20 10:00,12.95
2024-01-20 11:00,12.97
2024-01-20 12:00,12.48
2024-01-20 13:00,12.48
2024-01-20 14:00,12.47
2024-01-20 15:00,11.87
2024-01-20 16:00,12.48
2024-01-20 17:00,13.24
2024-01-20 18:00,12.67
2024-01-20 19:00,13.13
2024-01-20 20:00,11.94
2024-01-20 21:00,10.51
2024-01-20 22:00,9.69
2024-01-20 23:00,9.32
2024-01-21 00:00,8.9
2024-01-21 01:00,4.9
2024-01-21 02:00,4.9
2024-01-21 03:00,4.89
2024-01-21 04:00,4.86
2024-01-21 05:00,4.84
2024-01-21 06:00,4.88
2024-01-21 07:00,4.84
2024-01-21 08:00,4.93
2024-01-21 09:00,4.91
2024-01-21 10:00,5
2024-01-21 11:00,5.16
2024-01-21 12:00,5.28
2024-01-21 13:00,5.22
2024-01-21 14:00,5.15
